Date,Opponent,Home_Away,Points_For,Points_Against,Total_Yards,Pass_Yards,Rush_Yards,Turnovers,Opponent_Turnovers,Win_Loss,Season
2020-11-22,Minnesota Vikings,Away,31,28,380,266,114,1,0,W,2020
2020-11-26,Washington Football Team,Home,41,16,380,266,114,1,0,W,2020
2020-12-03,Baltimore Ravens,Away,17,34,380,266,114,1,0,L,2020
2020-12-08,Cincinnati Bengals,Home,30,7,380,266,114,1,0,W,2020
2020-12-13,San Francisco 49ers,Home,41,33,380,266,114,1,0,W,2020
2020-12-20,Philadelphia Eagles,Away,37,17,380,266,114,1,0,W,2020
2020-12-27,New York Giants,Home,37,34,380,266,114,1,0,W,2020
2021-01-03,New York Giants,Away,19,23,380,266,114,1,0,L,2020
2020-01-09,New York Giants,Home,23,19,380,266,114,1,0,W,2020
2019-09-08,New York Giants,Home,35,17,380,266,114,1,0,W,2019
2019-09-15,Washington Redskins,Away,31,21,380,266,114,1,0,W,2019
2019-09-22,Miami Dolphins,Home,31,6,380,266,114,1,0,W,2019
2019-09-29,New Orleans Saints,Away,10,12,380,266,114,1,0,L,2019
2019-10-06,Green Bay Packers,Home,24,34,380,266,114,1,0,L,2019
2019-10-13,New York Jets,Away,22,24,380,266,114,1,0,L,2019
2019-10-20,Philadelphia Eagles,Home,37,10,380,266,114,1,0,W,2019
2019-10-27,New York Giants,Away,37,18,380,266,114,1,0,W,2019
2019-11-04,Minnesota Vikings,Home,24,28,380,266,114,1,0,L,2019
2019-11-10,Detroit Lions,Home,35,27,380,266,114,1,0,W,2019
2019-11-17,Detroit Lions,Away,35,27,380,266,114,1,0,W,2019
2019-11-24,New England Patriots,Away,9,13,380,266,114,1,0,L,2019
2019-11-28,Buffalo Bills,Home,26,15,380,266,114,1,0,W,2019
2019-12-05,Chicago Bears,Away,24,31,380,266,114,1,0,L,2019
2019-12-15,Los Angeles Rams,Home,24,22,380,266,114,1,0,W,2019
2019-12-22,Philadelphia Eagles,Away,9,17,380,266,114,1,0,L,2019
2019-12-29,Washington Redskins,Home,47,16,380,266,114,1,0,W,2019
